,NAME,RANDOM SEED,TIME W/ CUTS,TIME W/O CUTS,NODES W/ CUTS,NODES W/O CUTS,PRESOLVING TIME W/O CUTS,PRESOLVING TIME W/ CUTS,TIME FIRST ROUND,TIME ROOT END,INITIAL LP,FIRST ROUND CUT,ROUND OF CUTS,OBJECTIVE VALUE ROOT NODE,vars,bin_vars,int_vars,cont_vars,constr,linsetpart_constr,linsetpack_constr,linsetcov_constr,lincard_constr,lineqknap_constr,linbinpack_constr,linknaps_constr,linintknap_constr,linmixbin_constr,nonzeroes,obj_dyn,dynamism_mean,presol_vars,presol_int_vars,presol_constr,Time Label
0,10teams.mps.gz,12.4,10.6121332,13.4047198,30.0,276.0,0.11031280000000002,0.11232820000000002,1.5146060000000001,3.5001775999999998,20.0,917.0,13.0,924.0,7.613324979540638,0.888888888888889,0.0,0.11111111111111112,5.4380793089231965,0.3478260869565217,0.17391304347826084,0.0,0.0,0.0,0.0,0.0,0.0,0.4782608695652174,0.026086956521739136,1.6334699999999998,0.0,7.3777589082278725,0.0,5.3471075307174685,1
1,22433.mps.gz,12.4,2.8948542,1.0235024000000001,1.0,5.0,0.0610252,0.06304479999999998,0.22250780000000003,2.8948226000000004,21240.526170798898,21278.0,58.0,21471.13885990249,6.061456918928018,0.5384615384615384,0.0,0.46153846153846156,5.288267030694535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04012149466694921,0.0,0.015269,6.061456918928018,0.0,5.288267030694535,0
2,23588.mps.gz,12.4,5.0133938,2.4018606,576.0,981.0,0.05196639999999999,0.06086919999999999,0.18863639999999998,2.1030506,7649.866133822501,7660.0,34.0,7765.0,5.908082938168932,0.6277173913043478,0.0,0.37228260869565216,4.919980925828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07340923516344018,0.0,0.0266826,5.908082938168932,0.0,4.919980925828125,0
3,30_70_45_05_100.mps.gz,12.4,303.66586900000004,270.814232,46.0,201.0,4.296265199999999,5.4765378,22.0255344,160.0279364,-5336.0,8.5,13.0,9.0,9.28470545393149,0.9999071667285555,0.0,9.28332714444857e-05,9.396819938918801,0.0,0.0,0.004066390041493776,0.0,0.0,0.0,0.0,0.0,0.14962655601659752,0.00035352912807601696,3.7288399999999995,0.0,9.284334051884509,0.0,9.396653950039674,0
4,30_70_45_095_100.mps.gz,12.4,855.3036821999998,80.5744008,201.0,1.0,5.8922488,5.7156164,23.5403504,190.2608234,-6132.0,3.0,12.0,3.0,9.303466349965667,0.9999088921282799,0.0,9.110787172011663e-05,9.435561763085357,0.0,0.0,0.0014370110170844642,0.0,0.0,0.0,0.0,0.0,0.16413859172920325,0.00033923607991587413,3.78902,0.0,9.303375237943373,0.0,9.435561763085357,0
5,30_70_45_095_98.mps.gz,12.4,72.45650499999999,46.7862166,1.0,1.0,5.3954726,5.3482384000000005,18.340737999999998,72.4563436,-5967.0,11.5,11.0,12.0,9.304741047397666,0.9999090081892629,0.0,9.099181073703368e-05,9.431161227920748,0.0,0.0,0.0015235346002726324,0.0,0.0,0.0,0.0,0.0,0.16053243524977948,0.00033845217902804753,3.77706,0.0,9.303648549109834,0.0,9.430359045942867,0
6,30n20b8.mps.gz,12.4,175.8839852,176.8550138,1617.0,13632.0,23.432406800000003,24.2274672,26.151227999999996,153.25544519999997,107.09839101758214,121.76599018734491,90.0,151.38060569174547,9.819018395909678,0.996626768226333,0.0033732317736670293,0.0,6.356107660695892,0.052083333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010362448615645023,0.29243,0.5955050000000001,8.991313336173812,0.0002489729864309722,6.1964441277945195,1
7,Test3.mps.gz,12.4,8.1710178,23.6274838,1.0,426.0,2.7157838,2.7752684000000003,4.7171487999999995,8.170164199999999,2241736.0000091013,2671192.2167286817,32.0,2673520.2113535767,11.187403059535267,0.458948971820259,0.0,0.541051028179741,10.833286634435076,0.003393843725335438,0.0006511444356748224,0.0,0.0,0.0,0.0,0.0014009471191791633,0.0,0.07434885556432518,0.00016882275319997546,0.0,0.387977,8.93642970360832,0.0,8.248267447446901,1
8,ab51-40-100.mps.gz,12.4,808.5358072,1519.3310086000001,1316.0,1000.0,7.3540422,8.099806000000001,0.0,0.0,-3998177155848.0,0.0,0.0,-3998177155848.0,9.447386828459383,1.0,0.0,0.0,9.383705270727246,0.0,0.010426301185571344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048257382435858473,6.61842,0.0,9.447386828459383,0.0,9.383452989684828,1
9,ab67-40-100.mps.gz,12.4,314.06308260000003,338.1384174,73.0,75.0,8.321763200000001,8.2835696,19.289625,19.289625,-4706401663115.0,-4706401663115.0,1.0,-4706401663115.0,9.458137510729047,1.0,0.0,0.0,9.40029935589935,0.0,0.010089315249751905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004897345452994417,4.88588,0.0,9.458137510729047,0.0,9.400051227201992,1
